time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/value_loss,train/learning_rate,train/approx_kl,train/clip_fraction
1,0.17526901000000003,1,1.91,1063,2048,,,,,,,,,,
44,0.18662905000000002,2,1.95,92,4096,-0.06921696854406037,-9.44697426557541,0.2,-0.09989220649003983,-8.808341026306152,10,0.10572706142556854,0.0003,0.018272653,0.2216796875
86,0.18680977999999995,3,1.87,71,6144,-0.07654156511853216,-9.431257283687591,0.2,-0.08353027701377869,-1.3782434463500977,20,0.03300416461424902,0.0003,0.01976387,0.231005859375
129,0.17388071,4,1.89,63,8192,-0.07192918609071057,-9.417964494228363,0.2,-0.09499586373567581,-0.6452845335006714,30,0.02695850075688213,0.0003,0.019179739,0.20966796875
170,0.21431175,5,1.77,59,10240,-0.06934597271756501,-9.400586795806884,0.2,-0.09538501501083374,-0.3783836364746094,40,0.023421736742602662,0.0003,0.018839266,0.22109375
216,0.20388689999999998,6,1.78,56,12288,-0.0695291470270604,-9.378607019782066,0.2,-0.08387522399425507,-0.2636585235595703,50,0.022859952930593862,0.0003,0.0196479,0.23466796875
262,0.20908493000000003,7,1.73,54,14336,-0.06563469415414147,-9.361532750725747,0.2,-0.09538580477237701,-0.19665014743804932,60,0.021129328507231548,0.0003,0.02117303,0.226220703125
307,0.20003263999999998,8,1.81,53,16384,-0.07030477185908239,-9.345772466063499,0.2,-0.09255243837833405,-0.1825646162033081,70,0.022752958163619042,0.0003,0.020891171,0.234130859375
352,0.17914692,9,1.6,52,18432,-0.06816585447522812,-9.320343092083931,0.2,-0.10571499913930893,-0.17942678928375244,80,0.02295761277200654,0.0003,0.020404432,0.242919921875
398,0.18801348,10,1.6,51,20480,-0.07132966892095283,-9.308216005563736,0.2,-0.07734688371419907,-0.12079858779907227,90,0.021332579679437913,0.0003,0.021928582,0.24296875
444,0.20699478000000002,11,1.72,50,22528,-0.06667896792350803,-9.277149748802184,0.2,-0.10164421796798706,-0.08485829830169678,100,0.02161020270723384,0.0003,0.021284346,0.232666015625
489,0.2015387,12,1.51,50,24576,-0.06666080920695094,-9.254343274235726,0.2,-0.09473036974668503,-0.05148756504058838,110,0.02146276014391333,0.0003,0.022934075,0.262109375
535,0.18134555000000002,13,1.61,49,26624,-0.06589175004337448,-9.218089312314987,0.2,-0.07731569558382034,-0.03691756725311279,120,0.023894360358826815,0.0003,0.024071744,0.269775390625
580,0.18758055,14,1.36,49,28672,-0.06723828703979962,-9.18011965751648,0.2,-0.0495423749089241,-0.07340419292449951,130,0.022051090240711346,0.0003,0.024694594,0.275244140625
625,0.19601125999999996,15,1.5,49,30720,-0.06685669324215268,-9.153309953212737,0.2,-0.102815181016922,-0.03031635284423828,140,0.02241026843257714,0.0003,0.023994802,0.25146484375
671,0.19392339000000003,16,1.44,48,32768,-0.06990027774882038,-9.105492544174194,0.2,-0.10106649994850159,-0.011547446250915527,150,0.020057470176834614,0.0003,0.028101057,0.305712890625
717,0.19091967000000004,17,1.4,48,34816,-0.0680203927171533,-9.078868702054024,0.2,-0.10105422139167786,-0.021324634552001953,160,0.019804784696316347,0.0003,0.024400715,0.2751953125
761,0.19529146,18,1.36,48,36864,-0.06711900252412306,-9.031265071034431,0.2,-0.09024453163146973,0.035989344120025635,170,0.01955964471271727,0.0003,0.02569788,0.286572265625
806,0.20527823999999995,19,1.43,48,38912,-0.06977304465981433,-8.994533276557922,0.2,-0.09251785278320312,-0.03249013423919678,180,0.01925251822685823,0.0003,0.026768934,0.29736328125
851,0.19065839999999998,20,1.26,48,40960,-0.07114152080612257,-8.97040628194809,0.2,-0.08397769182920456,0.004474997520446777,190,0.02113941891293507,0.0003,0.03041336,0.302783203125
895,0.23303938,21,1.33,48,43008,-0.06814663779077819,-8.93362452685833,0.2,-0.10286921262741089,0.029898107051849365,200,0.019821357453474776,0.0003,0.028715402,0.30546875
940,0.24019338,22,1.29,47,45056,-0.06806120004330296,-8.897021088004113,0.2,-0.0757962167263031,-0.007026553153991699,210,0.018558170058531685,0.0003,0.029279374,0.306591796875
986,0.22036897,23,1.18,47,47104,-0.07156735621392726,-8.84423100054264,0.2,-0.0809476301074028,0.023009955883026123,220,0.02016734136850573,0.0003,0.03380518,0.314306640625
1032,0.1912675,24,1.31,47,49152,-0.06851685474211991,-8.801423329114915,0.2,-0.11904134601354599,0.04060697555541992,230,0.02169939670129679,0.0003,0.031643484,0.31357421875
1077,0.21356985,25,1.26,47,51200,-0.06913716495182598,-8.756163635849953,0.2,-0.07808354496955872,0.04381132125854492,240,0.020903664716752247,0.0003,0.033315882,0.308740234375
1123,0.22530577000000002,26,1.19,47,53248,-0.06928634388896171,-8.690625163912774,0.2,-0.09269371628761292,0.06473708152770996,250,0.0191920563520398,0.0003,0.034020755,0.325341796875
1168,0.20486401999999998,27,1.17,47,55296,-0.06895088184537598,-8.662915402650833,0.2,-0.08215226978063583,0.06572848558425903,260,0.019808586739236488,0.0003,0.036963508,0.3373046875
1214,0.24648283000000007,28,1.22,47,57344,-0.06973147669341415,-8.6124891102314,0.2,-0.08456224203109741,0.014827966690063477,270,0.02133484665537253,0.0003,0.03684806,0.325634765625
1258,0.21449335000000003,29,1.23,47,59392,-0.06547215172613505,-8.566502591967582,0.2,-0.11050614714622498,0.04436516761779785,280,0.020491144954576157,0.0003,0.0338441,0.3177734375
1304,0.24765873,30,1.18,47,61440,-0.07022704458795488,-8.513790202140807,0.2,-0.11260125786066055,0.06656521558761597,290,0.019777512102155014,0.0003,0.04018558,0.34296875
1349,0.22954387999999998,31,1.25,47,63488,-0.06645773642230779,-8.47143919467926,0.2,-0.08998929709196091,0.02324157953262329,300,0.020260730240261184,0.0003,0.0402584,0.353515625
1395,0.22115947000000002,32,1.12,46,65536,-0.06662709168995207,-8.42251365184784,0.2,-0.09409457445144653,0.02489602565765381,310,0.020445454143919052,0.0003,0.039231278,0.351220703125
1441,0.23739322000000002,33,1.08,46,67584,-0.06484708175412379,-8.367360043525697,0.2,-0.10429555922746658,0.06635993719100952,320,0.019718109894893133,0.0003,0.039864454,0.335791015625
1487,0.26066146999999995,34,1.12,46,69632,-0.067865045578219,-8.307476016879082,0.2,-0.08309128880500793,0.03983473777770996,330,0.02005291285167914,0.0003,0.040815763,0.36025390625
1531,0.26635545,35,1.2,46,71680,-0.06855579435796244,-8.22614020705223,0.2,-0.08694658428430557,0.06300240755081177,340,0.01982986973307561,0.0003,0.04124525,0.339013671875
1575,0.2658941100000001,36,1.09,46,73728,-0.06738083402160555,-8.146376311779022,0.2,-0.10277838259935379,0.03265315294265747,350,0.020866589993238448,0.0003,0.040354125,0.3525390625
1619,0.26702806,37,1.09,46,75776,-0.07008148071618052,-8.084578409790993,0.2,-0.10414816439151764,0.07045942544937134,360,0.020763766448362732,0.0003,0.045148186,0.3744140625
1663,0.2262205,38,1.08,46,77824,-0.0644913613985409,-8.043280386924744,0.2,-0.09319408237934113,0.057549238204956055,370,0.021517362020676955,0.0003,0.04891103,0.36484375
1704,0.22293074999999998,39,1.09,46,79872,-0.06701439128737548,-7.986683405935764,0.2,-0.08610817790031433,0.07669121026992798,380,0.021269562136149035,0.0003,0.046396576,0.355859375
1745,0.25531941,40,1.05,46,81920,-0.0672700489507406,-7.975503477454185,0.2,-0.06462333351373672,0.08867537975311279,390,0.020267864497145637,0.0003,0.046329185,0.3416015625
1788,0.25492966,41,1.11,46,83968,-0.06885119833459612,-7.900553503632546,0.2,-0.12526603043079376,0.07445377111434937,400,0.021838010716601276,0.0003,0.051551666,0.367626953125
1833,0.21618705000000005,42,1.09,46,86016,-0.06443495588027873,-7.848113258183003,0.2,-0.10042028874158859,0.027750730514526367,410,0.021588451170828193,0.0003,0.048589867,0.36552734375
1877,0.23733984999999996,43,1.13,46,88064,-0.06118846377357841,-7.819498766958714,0.2,-0.09549173712730408,0.05883228778839111,420,0.020932815721607767,0.0003,0.05317691,0.354248046875
1920,0.25911950000000006,44,1.06,46,90112,-0.06136080302094342,-7.781365902721882,0.2,-0.12155692279338837,0.0941932201385498,430,0.020419751282315702,0.0003,0.056241814,0.354248046875
1963,0.25331402999999997,45,1.12,46,92160,-0.05972425562504213,-7.714224450290203,0.2,-0.0869361162185669,0.10346996784210205,440,0.020989090445800683,0.0003,0.051361233,0.35302734375
2006,0.26822924,46,1.07,46,94208,-0.06482785944535863,-7.656597892940044,0.2,-0.08511771261692047,0.0783158540725708,450,0.02152327381190844,0.0003,0.060066774,0.384130859375
2051,0.26169513,47,1.1,46,96256,-0.06174497586034704,-7.586461859941482,0.2,-0.10343628376722336,0.0775722861289978,460,0.020430211114580744,0.0003,0.054378465,0.379248046875
2094,0.22898870000000002,48,1.07,46,98304,-0.06604577238758794,-7.536194434762001,0.2,-0.09351182729005814,0.10395753383636475,470,0.021165094975731335,0.0003,0.051752456,0.364453125
2138,0.25551231,49,1.02,46,100352,-0.06368701675673946,-7.4907625913619995,0.2,-0.07820688188076019,0.1183437705039978,480,0.018857377837412058,0.0003,0.054332383,0.372900390625
2182,0.28362174,50,1.07,46,102400,-0.06028999875561567,-7.431806905567646,0.2,-0.10713142901659012,0.0705270767211914,490,0.02262119190127123,0.0003,0.059610825,0.37412109375
2226,0.26320698,51,1.03,46,104448,-0.05886699888797011,-7.393742348253727,0.2,-0.10062755644321442,0.1173517107963562,500,0.020274232898373157,0.0003,0.058905482,0.369287109375
2269,0.25187572,52,1.11,46,106496,-0.062429397058440375,-7.320421697199345,0.2,-0.09364093095064163,0.11324626207351685,510,0.02188085870584473,0.0003,0.06083501,0.38671875
2314,0.27460542,53,1.04,46,108544,-0.061149830208159985,-7.292713031172752,0.2,-0.10983286798000336,0.1349899172782898,520,0.02145809433422983,0.0003,0.06760426,0.373095703125
2358,0.26841066,54,1.03,46,110592,-0.05772160400665598,-7.235453288257122,0.2,-0.08994998782873154,0.11734580993652344,530,0.021246353079914116,0.0003,0.062435556,0.38642578125
2401,0.2544356,55,1.05,46,112640,-0.05490738156659063,-7.192269551753998,0.2,-0.07855480909347534,0.09676134586334229,540,0.021703709618304857,0.0003,0.070941165,0.388671875
2443,0.25859619,56,1.08,46,114688,-0.05672199168184307,-7.152053700387478,0.2,-0.08730769157409668,0.10467857122421265,550,0.021903516614111142,0.0003,0.06762492,0.37060546875
2487,0.2601287,57,1.04,46,116736,-0.05651429968711454,-7.1141770631074905,0.2,-0.09012734889984131,0.11647319793701172,560,0.02047780955617782,0.0003,0.067424946,0.373974609375
2530,0.27325631,58,1.06,46,118784,-0.0625038417900214,-7.0939698070287704,0.2,-0.09383021295070648,0.1047009825706482,570,0.02123611359857023,0.0003,0.07911334,0.411279296875
2574,0.29426630000000004,59,1.04,46,120832,-0.05968664864485618,-7.013097724318504,0.2,-0.0773213654756546,0.13072508573532104,580,0.02048370536067523,0.0003,0.07233156,0.407373046875
2616,0.29932241000000004,60,1.04,46,122880,-0.06044890503253555,-6.953080850839615,0.2,-0.10521821677684784,0.09752434492111206,590,0.020822886054520495,0.0003,0.08170751,0.404052734375
2660,0.22590953,61,1.1,46,124928,-0.045884103546268304,-6.944438779354096,0.2,-0.09629388898611069,0.1460666060447693,600,0.0202201414416777,0.0003,0.072030306,0.373681640625
2705,0.26277463,62,1.04,46,126976,-0.05810656671819743,-6.8927793353796005,0.2,-0.10956795513629913,0.13371539115905762,610,0.02123549680400174,0.0003,0.07091816,0.3833984375
2750,0.25926775,63,1.03,46,129024,-0.054732045967830344,-6.842039456963539,0.2,-0.05506313219666481,0.1433042287826538,620,0.019848433998413385,0.0003,0.06399724,0.3587890625
2794,0.26325692,64,1.02,46,131072,-0.062024529489281124,-6.775551867485047,0.2,-0.09427261352539062,0.10167986154556274,630,0.021785827973508275,0.0003,0.080924444,0.38408203125
2841,0.28103396,65,1.01,46,133120,-0.06010846200806554,-6.782938203215599,0.2,-0.07811332494020462,0.12190479040145874,640,0.020844671220402233,0.0003,0.08596514,0.388916015625
2887,0.28684472,66,1.03,46,135168,-0.06127381109399721,-6.730572764575482,0.2,-0.09767662733793259,0.13374704122543335,650,0.02002191522915382,0.0003,0.092782855,0.393408203125
2931,0.26849308,67,1.0,46,137216,-0.06003105246199993,-6.688697794079781,0.2,-0.10986355692148209,0.1690008044242859,660,0.01929679702152498,0.0003,0.08496958,0.41259765625
2978,0.28002923999999996,68,1.03,46,139264,-0.05555977912154049,-6.675323957204819,0.2,-0.09486445784568787,0.13766765594482422,670,0.020579026735504158,0.0003,0.07532331,0.381396484375
3022,0.25728185,69,1.01,46,141312,-0.0556719010026427,-6.640498875081539,0.2,-0.08553169667720795,0.14688944816589355,680,0.01974277989938855,0.0003,0.08583076,0.41376953125
3068,0.29768387,70,1.0,46,143360,-0.05969615933136083,-6.613493810594082,0.2,-0.08311564475297928,0.09376919269561768,690,0.021946195777854883,0.0003,0.07314177,0.373876953125
3113,0.27151899999999995,71,1.01,46,145408,-0.05392557784798555,-6.594120821356773,0.2,-0.07998425513505936,0.14259546995162964,700,0.02098984698532149,0.0003,0.07359952,0.4041015625
3158,0.26689913,72,1.02,46,147456,-0.05444971791584976,-6.52245806157589,0.2,-0.0966978594660759,0.1519620418548584,710,0.019100867383531294,0.0003,0.08667824,0.399169921875
3202,0.29555862,73,1.0,46,149504,-0.059188093268312515,-6.477738679945469,0.2,-0.09691013395786285,0.10780912637710571,720,0.020553098199889062,0.0003,0.0754019,0.42041015625
3247,0.29485258999999997,74,1.02,46,151552,-0.04936327464529313,-6.499984040856361,0.2,-0.06571126729249954,0.11184602975845337,730,0.020220120379235595,0.0003,0.06459989,0.3734375
3291,0.29770148999999996,75,1.02,46,153600,-0.05760744894068921,-6.426659141480923,0.2,-0.08569780737161636,0.12495565414428711,740,0.0210317592456704,0.0003,0.08086789,0.391748046875
3335,0.28334763999999996,76,1.01,46,155648,-0.051027472014538944,-6.410184864699841,0.2,-0.06411278247833252,0.12444931268692017,750,0.020013085356913506,0.0003,0.09129217,0.402294921875
3379,0.25380214,77,1.01,46,157696,-0.05495586438046303,-6.322218413650989,0.2,-0.07036761939525604,0.14974671602249146,760,0.020254445128375664,0.0003,0.080557846,0.40576171875
3424,0.30939697,78,1.01,46,159744,-0.05872791050351225,-6.304291447997093,0.2,-0.07008669525384903,0.17430096864700317,770,0.018462593929143623,0.0003,0.08071695,0.392578125
3468,0.28704138999999995,79,1.01,46,161792,-0.05103251634136541,-6.247234837710858,0.2,-0.1002345085144043,0.1407487392425537,780,0.0205904709699098,0.0003,0.08706413,0.396533203125
3511,0.27193457,80,1.0,46,163840,-0.05424583593849093,-6.23544700294733,0.2,-0.07021011412143707,0.1603865623474121,790,0.020723279161029496,0.0003,0.08160912,0.40302734375
3556,0.30640230999999996,81,1.0,46,165888,-0.058735979214543474,-6.240471266210079,0.2,-0.0976141020655632,0.1475437879562378,800,0.020058284446713516,0.0003,0.08201812,0.379296875
3601,0.26324829,82,1.02,46,167936,-0.05845305066613946,-6.162778650224209,0.2,-0.07560113072395325,0.1483166217803955,810,0.020689218456391247,0.0003,0.089307874,0.404931640625
3644,0.28309737,83,1.01,46,169984,-0.05339753827865934,-6.142389373481274,0.2,-0.08759716153144836,0.1387149691581726,820,0.02058770054136403,0.0003,0.10668373,0.420263671875
3689,0.27903378999999995,84,1.0,46,172032,-0.0570351831818698,-6.101964350044727,0.2,-0.10460954159498215,0.13477611541748047,830,0.02019781913550105,0.0003,0.098278314,0.3923828125
3734,0.30839653,85,1.01,46,174080,-0.056307339921477254,-6.089576929807663,0.2,-0.10949523746967316,0.15081274509429932,840,0.019693018769612537,0.0003,0.08890943,0.389599609375
3776,0.2999229500000001,86,1.01,46,176128,-0.05122268002887722,-6.05632010102272,0.2,-0.08826862275600433,0.14440876245498657,850,0.021123323612846433,0.0003,0.08721052,0.38447265625
3820,0.29355355,87,1.02,46,178176,-0.050192901166155934,-6.030619080364704,0.2,-0.06683232635259628,0.19026994705200195,860,0.01944630871003028,0.0003,0.086765826,0.40126953125
3865,0.30405313999999994,88,1.01,46,180224,-0.04258007117459783,-6.025003220140934,0.2,-0.07108202576637268,0.13132518529891968,870,0.020416057933471166,0.0003,0.090039894,0.3818359375
